word_id,word
1,Luna
2,loved
3,everything
4,about
5,nature.
6,She
7,loved
8,the
9,way
10,flowers
11,"smelled,"
12,the
13,soft
14,buzz
15,of
16,"bees,"
17,and
18,the
19,feeling
20,of
21,warm
22,soil
23,between
24,her
25,fingers.
26,One
27,sunny
28,"afternoon,"
29,while
30,playing
31,near
32,the
33,neighborhood
34,"playground,"
35,Luna
36,noticed
37,something
38,special
39,behind
40,the
41,old
42,wooden
43,fence.
44,Luna's
45,heart
46,filled
47,with
48,excitement.
49,She
50,ran
51,back
52,to
53,the
54,playground
55,where
56,her
57,friends
58,were
59,playing
60,on
61,the
62,swings.
63,"""Everyone,"
64,come
65,quick!
66,I
67,found
68,something
69,"amazing!"""
70,Her
71,friends
72,gathered
73,around
74,as
75,Luna
76,told
77,them
78,about
79,the
80,secret
81,garden.
82,"""It"
83,needs
84,our
85,"help,"""
86,Luna
87,explained.
88,"""If"
89,we
90,work
91,"together,"
92,we
93,can
94,make
95,it
96,beautiful
97,"again!"""
98,She
99,pushed
100,aside
101,the
102,tall
103,weeds
104,and
105,tangled
106,vines.
107,"There,"
108,hidden
109,from
110,"everyone,"
111,was
112,a
113,forgotten
114,garden!
115,The
116,space
117,was
118,overgrown
119,with
120,weeds
121,and
122,the
123,soil
124,looked
125,tired
126,and
127,"brown,"
128,but
129,Luna
130,could
131,see
132,its
133,magic.
134,"""This"
135,garden
136,is
137,just
138,waiting
139,for
140,someone
141,to
142,help
143,it
144,bloom
145,"again,"""
146,she
147,whispered
148,to
149,herself.
150,The
151,next
152,"day,"
153,Luna
154,and
155,her
156,friends
157,arrived
158,with
159,small
160,gloves
161,and
162,garden
163,tools.
164,There
165,was
166,Maya
167,with
168,her
169,bright
170,red
171,"hat,"
172,Sam
173,carrying
174,a
175,tiny
176,"rake,"
177,and
178,Noah
179,with
180,a
181,basket
182,for
183,collecting
184,weeds.
185,"Together,"
186,they
187,worked
188,as
189,a
190,team.
191,Luna
192,showed
193,them
194,how
195,to
196,pull
197,weeds
198,gently
199,from
200,the
201,roots.
202,Sam
203,raked
204,the
205,soil
206,smooth.
207,Maya
208,and
209,Noah
210,cleared
211,away
212,old
213,leaves
214,and
215,sticks.
216,Even
217,though
218,it
219,was
220,hard
221,"work,"
222,they
223,laughed
224,and
225,sang
226,songs
227,while
228,they
229,worked.
230,When
231,the
232,garden
233,space
234,was
235,clean
236,and
237,"ready,"
238,Luna
239,carefully
240,opened
241,several
242,packets
243,of
244,flower
245,seeds.
246,"""These"
247,are
248,sunflower
249,"seeds,"""
250,she
251,"explained,"
252,showing
253,the
254,small
255,seeds
256,to
257,her
258,friends.
259,"""And"
260,these
261,will
262,grow
263,into
264,purple
265,lavender.
266,These
267,pink
268,ones
269,will
270,become
271,"zinnias!"""
272,Each
273,friend
274,took
275,turns
276,pressing
277,seeds
278,into
279,the
280,soft
281,soil.
282,Luna
283,taught
284,them
285,to
286,make
287,small
288,holes
289,with
290,their
291,"fingers,"
292,drop
293,in
294,a
295,"seed,"
296,and
297,cover
298,it
299,gently
300,with
301,earth.
302,"""Gardens"
303,teach
304,us
305,to
306,be
307,"patient,"""
308,Luna
309,said
310,wisely.
311,"""Seeds"
312,need
313,time
314,to
315,"grow,"
316,just
317,like
318,friendships
319,need
320,time
321,to
322,grow
323,"strong."""
324,Every
325,day
326,after
327,"that,"
328,the
329,friends
330,visited
331,their
332,garden
333,together.
334,They
335,brought
336,watering
337,cans
338,filled
339,with
340,cool
341,water
342,and
343,sprinkled
344,the
345,thirsty
346,soil.
347,Luna
348,reminded
349,everyone
350,that
351,plants
352,need
353,"water,"
354,"sunshine,"
355,and
356,love
357,to
358,grow.
359,"""We're"
360,taking
361,care
362,of
363,something
364,"together,"""
365,she
366,told
367,her
368,friends.
369,"""That"
370,makes
371,our
372,friendship
373,even
374,more
375,"special."""
376,Weeks
377,"passed,"
378,and
379,Luna
380,checked
381,the
382,garden
383,every
384,morning
385,before
386,school.
387,At
388,"first,"
389,nothing
390,seemed
391,to
392,happen.
393,But
394,Luna
395,wasn't
396,worried.
397,"""Good"
398,things
399,take
400,"time,"""
401,she
402,reminded
403,herself.
404,Then
405,one
406,"morning,"
407,she
408,saw
409,them—tiny
410,green
411,sprouts
412,pushing
413,up
414,through
415,the
416,soil!
417,Luna
418,felt
419,so
420,happy
421,she
422,could
423,hardly
424,stand
425,still.
426,She
427,touched
428,the
429,little
430,sprouts
431,gently
432,with
433,one
434,finger.
435,"""Hello,"
436,little
437,"plants,"""
438,she
439,whispered.
440,"""Keep"
441,growing
442,"strong."""
443,More
444,weeks
445,went
446,"by,"
447,and
448,something
449,magical
450,happened.
451,The
452,garden
453,exploded
454,with
455,color!
456,Bright
457,yellow
458,sunflowers
459,stretched
460,tall
461,toward
462,the
463,sky.
464,Purple
465,lavender
466,swayed
467,in
468,the
469,"breeze,"
470,filling
471,the
472,air
473,with
474,sweet
475,scent.
476,Pink
477,and
478,red
479,zinnias
480,opened
481,their
482,petals
483,wide.
484,Orange
485,marigolds
486,glowed
487,like
488,little
489,suns.
490,Blue
491,forget-me-nots
