word_id,html_text,text_only_word,whisperx_word,has_timing
1,Story Bell,Luna,,no
2,Luna,loved,,no
3,loved,everything,,no
4,everything,about,,no
5,about,nature,,no
6,nature.,She,,no
7,She,loved,,no
8,loved,the,,no
9,the,way,,no
10,way,flowers,,no
11,flowers,smelled,,no
12,"smelled,",the,,no
13,the,soft,,no
14,soft,buzz,,no
15,buzz,of,,no
16,of,bees,,no
17,"bees,",and,,no
18,and,the,,no
19,the,feeling,,no
20,feeling,of,,no
21,of,warm,,no
22,warm,soil,,no
23,soil,between,,no
24,between,her,,no
25,her,fingers,,no
26,fingers.,One,,no
27,One,sunny,,no
28,sunny,afternoon,,no
29,"afternoon,",while,,no
30,while,playing,,no
31,playing,near,,no
32,near,the,,no
33,the,neighborhood,,no
34,neighborhood,playground,,no
35,"playground,",Luna,,no
36,Luna,noticed,,no
37,noticed,something,,no
38,something,special,,no
39,special,behind,,no
40,behind,the,,no
41,the,old,,no
42,old,wooden,,no
43,wooden,fence,,no
44,fence.,Luna's,,no
45,Luna's,heart,,no
46,heart,filled,,no
47,filled,with,,no
48,with,excitement,,no
49,excitement.,She,,no
50,She,ran,,no
51,ran,back,,no
52,back,to,,no
53,to,the,,no
54,the,playground,,no
55,playground,where,,no
56,where,her,,no
57,her,friends,,no
58,friends,were,,no
59,were,playing,,no
60,playing,on,,no
61,on,the,,no
62,the,swings,,no
63,swings.,Everyone,,no
64,"""Everyone,",come,,no
65,come,quick,,no
66,quick!,I,,no
67,I,found,,no
68,found,something,,no
69,something,amazing,,no
70,"amazing!""",Her,,no
71,Her,friends,,no
72,friends,gathered,,no
73,gathered,around,,no
74,around,as,,no
75,as,Luna,,no
76,Luna,told,,no
77,told,them,,no
78,them,about,,no
79,about,the,,no
80,the,secret,,no
81,secret,garden,,no
82,garden.,It,,no
83,"""It",needs,,no
84,needs,our,,no
85,our,help,,no
86,"help,""",Luna,,no
87,Luna,explained,,no
88,explained.,If,,no
89,"""If",we,,no
90,we,work,,no
91,work,together,,no
92,"together,",we,,no
93,we,can,,no
94,can,make,,no
95,make,it,,no
96,it,beautiful,,no
97,beautiful,again,,no
98,"again!""",She,,no
99,She,pushed,,no
100,pushed,aside,,no
101,aside,the,,no
102,the,tall,,no
103,tall,weeds,,no
104,weeds,and,,no
105,and,tangled,,no
106,tangled,vines,,no
107,vines.,There,,no
108,"There,",hidden,,no
109,hidden,from,,no
110,from,everyone,,no
111,"everyone,",was,,no
112,was,a,,no
113,a,forgotten,,no
114,forgotten,garden,,no
115,garden!,The,,no
116,The,space,,no
117,space,was,,no
118,was,overgrown,,no
119,overgrown,with,,no
120,with,weeds,,no
121,weeds,and,,no
122,and,the,,no
123,the,soil,,no
124,soil,looked,,no
125,looked,tired,,no
126,tired,and,,no
127,and,brown,,no
128,"brown,",but,,no
129,but,Luna,,no
130,Luna,could,,no
131,could,see,,no
132,see,its,,no
133,its,magic,,no
134,magic.,This,,no
135,"""This",garden,,no
136,garden,is,,no
137,is,just,,no
138,just,waiting,,no
139,waiting,for,,no
140,for,someone,,no
141,someone,to,,no
142,to,help,,no
143,help,it,,no
144,it,bloom,,no
145,bloom,again,,no
146,"again,""",she,,no
147,she,whispered,,no
148,whispered,to,,no
149,to,herself,,no
150,herself.,The,,no
151,The,next,,no
152,next,day,,no
153,"day,",Luna,,no
154,Luna,and,,no
155,and,her,,no
156,her,friends,,no
157,friends,arrived,,no
158,arrived,with,,no
159,with,small,,no
160,small,gloves,,no
161,gloves,and,,no
162,and,garden,,no
163,garden,tools,,no
164,tools.,There,,no
165,There,was,,no
166,was,Maya,,no
167,Maya,with,,no
168,with,her,,no
169,her,bright,,no
170,bright,red,,no
171,red,hat,,no
172,"hat,",Sam,,no
173,Sam,carrying,,no
174,carrying,a,,no
175,a,tiny,,no
176,tiny,rake,,no
177,"rake,",and,,no
178,and,Noah,,no
179,Noah,with,,no
180,with,a,,no
181,a,basket,,no
182,basket,for,,no
183,for,collecting,,no
184,collecting,weeds,,no
185,weeds.,Together,,no
186,"Together,",they,,no
187,they,worked,,no
188,worked,as,,no
189,as,a,,no
190,a,team,,no
191,team.,Luna,,no
192,Luna,showed,,no
193,showed,them,,no
194,them,how,,no
195,how,to,,no
196,to,pull,,no
197,pull,weeds,,no
198,weeds,gently,,no
199,gently,from,,no
200,from,the,,no
201,the,roots,,no
202,roots.,Sam,,no
203,Sam,raked,,no
204,raked,the,,no
205,the,soil,,no
206,soil,smooth,,no
207,smooth.,Maya,,no
208,Maya,and,,no
209,and,Noah,,no
210,Noah,cleared,,no
211,cleared,away,,no
212,away,old,,no
213,old,leaves,,no
214,leaves,and,,no
215,and,sticks,,no
216,sticks.,Even,,no
217,Even,though,,no
218,though,it,,no
219,it,was,,no
220,was,hard,,no
221,hard,work,,no
222,"work,",they,,no
223,they,laughed,,no
224,laughed,and,,no
225,and,sang,,no
226,sang,songs,,no
227,songs,while,,no
228,while,they,,no
229,they,worked,,no
230,worked.,When,,no
231,When,the,,no
232,the,garden,,no
233,garden,space,,no
234,space,was,,no
235,was,clean,,no
236,clean,and,,no
237,and,ready,,no
